Hint,theta_u,Sparsity,Size,Topography,Classification
2.5775,0.32796,0.0,1.0,0.0,NS
4.2958,0.35012,0.0,1.0,0.0,NS
4.1208,0.33305,0.0,1.0,0.0,NS
3.3181,0.33744,0.0,1.0,0.0,NS
3.7378,0.31919000000000003,0.0,1.0,0.0,NS
3.4772,0.31874,0.0,1.0,0.0,NS
2.6043,0.3471,0.96,0.51,0.93765,S
4.7421,0.40276,0.0,0.6372,0.51607,S
2.6614,0.36125999999999997,0.98,0.42,1.0,S
4.7743,0.37918,0.0,1.0,0.0,NS
2.9554,0.41108,1.0,0.0,0.0,D
2.1979,0.40726,1.0,0.0,0.0,D
4.6793,0.41362,0.34,0.49576000000000003,0.85859,S
4.9934,0.31596,0.0,1.0,0.0,NS
2.4064,0.44483999999999996,1.0,0.0,0.0,D
4.641,0.35295,0.0,1.0,0.0,NS
4.2394,0.4218,1.0,0.0,0.0,D
3.7739,0.41193,1.0,0.0,0.0,D
4.8954,0.40441,0.18,0.5546300000000001,0.8113100000000001,S
3.9427,0.31667,0.0,1.0,0.0,NS
4.325,0.44022,1.0,0.0,0.0,D
3.0454,0.39563000000000004,1.0,0.0,0.0,D
4.4335,0.40595,0.54,0.50435,0.91179,S
