index,Hint,theta_u,Sparsity,Size,Topography,Classification
230,3.7677,0.45715,0,0.47200000000000003,0.70494,S
231,2.8596,0.62943,0,0.1325,0.98839,S
232,3.2114,0.52483,0,0.3104,0.96844,S
233,3.3387,0.5411,0,0.2944,0.9477200000000001,S
234,3.5138,0.48562,0,0.3964,0.49065,S
235,4.8341,0.48146000000000005,0,0.4488,0.8426899999999999,S
236,3.9995,0.5784600000000001,0,0.2688,0.8895,S
237,2.8505,0.47446000000000005,0,0.37,0.51942,S
239,3.2754,0.33183,0,1.0,0.0,NS
240,3.95,0.5345300000000001,0,0.3272,0.94427,S
241,2.2892,0.38140999999999997,0,0.5336,0.74954,S
244,4.6701,0.43688,0,0.564,0.59472,S
245,4.3861,0.46843999999999997,0,0.4644,0.7511800000000001,S
246,4.0947,0.51467,0,0.3672,0.78427,S
250,3.786,0.30133000000000004,0,1.0,0.0,NS
252,3.7542,0.48302,0,0.4112,0.83165,S
253,2.8338,0.59939,0,0.17292000000000002,0.9142399999999999,S
254,3.4429,0.5518,0,0.2808,0.96585,S
256,3.9175,0.42278000000000004,0,0.5756,0.62667,S
259,3.6444,0.5011800000000001,0,0.3736,0.85813,S
260,3.3347,0.45168,0,0.4436,0.93266,S
261,3.1921,0.66186,0,0.12580999999999998,0.9851200000000001,S
263,2.8811,0.5363899999999999,0,0.27,0.9713200000000001,S
264,3.9053,0.43017,0,0.5424,0.9648899999999999,S
266,2.6562,0.41298,0,0.4856,0.8378899999999999,S
268,4.0374,0.42446000000000006,0,0.5748,0.79319,S
269,3.1886,0.38595999999999997,0,0.9656,0.23137,NS
270,2.9936,0.409,0,0.5428,0.70206,S
271,2.4127,0.34057,0,1.0,0.0,NS
272,4.8301,0.69205,0,0.13289,0.94665,S
273,3.0753,0.43266000000000004,0,0.4756,0.7961600000000001,S
275,4.7316,0.37163,0,1.0,0.0,NS
276,3.7062,0.45323,0,0.4684,0.78254,S
277,4.2905,0.49076000000000003,0,0.42200000000000004,0.72019,S
279,2.1806,0.33159,0,1.0,0.0,NS
280,4.2447,0.64384,0,0.19399999999999998,0.90571,S
282,3.9278,0.68003,0,0.12837,0.8756799999999999,S
283,4.698,0.67047,0,0.1724,0.9266200000000001,S
284,3.6577,0.63554,0,0.18,0.9804299999999999,S
285,4.511,0.62597,0,0.2228,0.9265200000000001,S
286,3.0044,0.62664,0,0.1524,0.94868,S
287,3.5989,0.6486,0,0.16,0.9812,S
288,3.8345,0.66661,0,0.14304,0.95952,S
289,2.4598,0.61343,0,0.12258,0.72124,S
290,2.5725,0.62224,0,0.12324,0.98436,S
291,3.7368,0.6368,0,0.1804,0.68537,S
292,3.5706,0.64686,0,0.1584,0.91204,S
295,4.441,0.69524,0,0.12821,0.84173,S
